"timestamp","update_timestamp","readings.o3_sub_index.west","readings.o3_sub_index.national","readings.o3_sub_index.east","readings.o3_sub_index.central","readings.o3_sub_index.south","readings.o3_sub_index.north","readings.pm10_twenty_four_hourly.west","readings.pm10_twenty_four_hourly.national","readings.pm10_twenty_four_hourly.east","readings.pm10_twenty_four_hourly.central","readings.pm10_twenty_four_hourly.south","readings.pm10_twenty_four_hourly.north","readings.pm10_sub_index.west","readings.pm10_sub_index.national","readings.pm10_sub_index.east","readings.pm10_sub_index.central","readings.pm10_sub_index.south","readings.pm10_sub_index.north","readings.co_sub_index.west","readings.co_sub_index.national","readings.co_sub_index.east","readings.co_sub_index.central","readings.co_sub_index.south","readings.co_sub_index.north","readings.pm25_twenty_four_hourly.west","readings.pm25_twenty_four_hourly.national","readings.pm25_twenty_four_hourly.east","readings.pm25_twenty_four_hourly.central","readings.pm25_twenty_four_hourly.south","readings.pm25_twenty_four_hourly.north","readings.so2_sub_index.west","readings.so2_sub_index.national","readings.so2_sub_index.east","readings.so2_sub_index.central","readings.so2_sub_index.south","readings.so2_sub_index.north","readings.co_eight_hour_max.west","readings.co_eight_hour_max.national","readings.co_eight_hour_max.east","readings.co_eight_hour_max.central","readings.co_eight_hour_max.south","readings.co_eight_hour_max.north","readings.no2_one_hour_max.west","readings.no2_one_hour_max.national","readings.no2_one_hour_max.east","readings.no2_one_hour_max.central","readings.no2_one_hour_max.south","readings.no2_one_hour_max.north","readings.so2_twenty_four_hourly.west","readings.so2_twenty_four_hourly.national","readings.so2_twenty_four_hourly.east","readings.so2_twenty_four_hourly.central","readings.so2_twenty_four_hourly.south","readings.so2_twenty_four_hourly.north","readings.pm25_sub_index.west","readings.pm25_sub_index.national","readings.pm25_sub_index.east","readings.pm25_sub_index.central","readings.pm25_sub_index.south","readings.pm25_sub_index.north","readings.psi_twenty_four_hourly.west","readings.psi_twenty_four_hourly.national","readings.psi_twenty_four_hourly.east","readings.psi_twenty_four_hourly.central","readings.psi_twenty_four_hourly.south","readings.psi_twenty_four_hourly.north","readings.o3_eight_hour_max.west","readings.o3_eight_hour_max.national","readings.o3_eight_hour_max.east","readings.o3_eight_hour_max.central","readings.o3_eight_hour_max.south","readings.o3_eight_hour_max.north"
"2020-12-31T01:00:00+08:00","2020-12-31T01:08:53+08:00",6,14,9,9,10,14,27,33,33,27,30,23,27,33,33,27,30,23,4,8,5,3,6,8,9,14,13,8,14,10,8,8,2,2,2,2,0.45,0.83,0.52,0.31,0.57,0.83,17,17,13,13,16,5,12,12,3,3,3,4,38,53,52,35,53,42,38,35,52,35,53,42,13,34,22,22,24,34
"2020-12-31T02:00:00+08:00","2020-12-31T02:08:52+08:00",6,14,10,9,11,14,26,33,33,27,30,23,26,33,33,27,30,23,4,8,5,3,6,8,9,14,13,8,14,10,8,8,2,2,2,2,0.44,0.85,0.53,0.32,0.57,0.85,14,14,11,13,11,5,12,12,3,3,3,4,38,53,52,35,53,42,38,35,52,35,53,42,14,33,22,21,26,33
"2020-12-31T03:00:00+08:00","2020-12-31T03:08:54+08:00",7,14,10,9,11,14,26,33,33,27,30,24,26,33,33,27,30,24,4,9,5,3,6,9,9,14,13,8,14,10,8,8,2,2,2,2,0.43,0.86,0.54,0.33,0.58,0.86,12,12,11,10,12,3,12,12,3,3,3,4,38,53,52,35,53,43,38,35,52,35,53,43,16,33,23,21,27,33
"2020-12-31T04:00:00+08:00","2020-12-31T04:08:52+08:00",7,14,10,10,12,14,26,33,33,27,29,24,26,33,33,27,29,24,4,9,5,3,6,9,8,14,14,8,14,11,8,8,2,2,2,2,0.44,0.87,0.54,0.33,0.58,0.87,11,13,11,9,13,5,12,12,3,3,3,3,35,53,53,35,53,44,35,35,53,35,53,44,16,34,24,23,29,34
"2020-12-31T05:00:00+08:00","2020-12-31T05:08:54+08:00",7,15,11,10,13,15,26,32,32,27,29,24,26,32,32,27,29,24,4,9,5,3,6,9,8,14,13,9,14,11,8,8,2,2,2,2,0.44,0.87,0.54,0.33,0.58,0.87,10,19,8,4,19,2,12,12,3,3,3,3,34,53,52,36,53,45,34,34,52,36,53,45,16,35,25,25,30,35
"2020-12-31T06:00:00+08:00","2020-12-31T06:08:54+08:00",7,16,11,11,13,16,26,31,31,26,29,24,26,31,31,26,29,24,4,9,5,3,6,9,8,14,13,9,14,11,8,8,2,2,2,2,0.45,0.88,0.54,0.33,0.58,0.88,11,20,11,5,20,4,12,12,3,3,3,3,34,53,52,36,53,45,34,34,52,36,53,45,16,37,26,26,31,37
"2020-12-31T07:00:00+08:00","2020-12-31T07:08:54+08:00",7,16,11,11,14,16,25,30,30,26,30,24,25,30,30,26,30,24,4,9,5,3,6,9,9,14,13,9,14,11,8,8,2,2,2,2,0.45,0.86,0.54,0.33,0.58,0.86,9,19,19,12,13,18,12,12,3,3,3,3,37,54,52,36,54,45,37,36,52,36,54,45,16,37,26,27,33,37
"2020-12-31T08:00:00+08:00","2020-12-31T08:08:54+08:00",7,15,11,11,15,15,25,29,29,26,29,24,25,29,29,26,29,24,4,9,5,3,6,9,9,15,13,9,15,11,8,8,2,2,2,2,0.44,0.88,0.54,0.34,0.58,0.88,6,30,23,27,16,30,12,12,3,3,3,3,37,54,51,38,54,46,37,37,51,38,54,46,17,35,26,25,35,35
"2020-12-31T09:00:00+08:00","2020-12-31T09:08:52+08:00",8,15,11,10,15,14,25,30,30,26,29,24,25,30,30,26,29,24,4,8,5,3,6,8,9,15,13,10,15,11,8,8,2,2,2,2,0.44,0.84,0.55,0.35,0.58,0.84,12,36,36,25,19,26,12,12,3,3,3,3,37,54,52,40,54,46,37,37,52,40,54,46,18,35,26,24,35,33
"2020-12-31T10:00:00+08:00","2020-12-31T10:08:53+08:00",8,14,11,10,14,14,26,31,31,26,29,24,26,31,31,26,29,24,4,8,6,4,6,8,9,14,13,10,14,11,8,8,2,2,2,2,0.43,0.79,0.56,0.35,0.59,0.79,11,29,29,23,23,26,12,12,3,3,3,3,37,54,52,41,54,46,37,37,52,41,54,46,19,33,26,24,33,33
