date, pm25, pm10, o3, no2, so2, co, psi
2024/2/1, 46, 25, 10, , 2, 5, 
2024/2/2, 48, 29, 10, , 2, 5, 
2024/2/3, 46, , , , , , 
2024/1/1, 35, 16, 8, , 1, 3, 
2024/1/2, 25, 18, 9, , 1, 2, 
2024/1/3, 37, 16, 8, , 4, 4, 
2024/1/4, 26, 13, 12, , 3, 3, 
2024/1/5, 26, 21, 16, , 3, 5, 
2024/1/6, 31, 17, 8, , 3, 5, 
2024/1/7, 24, 14, 14, , 3, 6, 
2024/1/8, 34, 17, 12, , 3, 5, 
2024/1/9, 26, 14, 9, , 2, 4, 
2024/1/10, 25, 21, 9, , 2, 7, 
2024/1/11, 46, 25, 37, , 2, 7, 
2024/1/12, 24, 21, 12, , 2, 8, 
2024/1/13, 50, 36, 13, , 2, 7, 
2024/1/14, 46, 29, 11, , 2, 6, 
2024/1/15, 34, 23, 8, , 1, 3, 
2024/1/16, 33, 21, 10, , 2, 3, 
2024/1/17, 37, 25, 8, , 3, 3, 
2024/1/18, 42, 37, 7, , 1, 4, 
2024/1/19, 45, 26, 3, , 1, 4, 
2024/1/20, 39, 19, 27, , 1, 4, 
2024/1/21, 41, 21, 26, , 1, 4, 
2024/1/22, 41, 23, 15, , 1, 4, 
2024/1/23, 33, 24, 10, , 1, 5, 
2024/1/24, 46, 22, 7, , 1, 4, 
2024/1/25, 39, 27, 15, , 1, 5, 
2024/1/26, 48, 31, 18, , 1, , 
2024/1/27, 48, 33, 18, , 1, , 
2024/1/28, 46, 36, 17, , 2, , 
2024/1/29, 58, 39, 14, , 2, 5, 
2024/1/30, 55, 36, 12, , 2, 4, 
2024/1/31, 49, 29, 12, , , 5, 
2023/10/1, 100, 45, 27, , 2, 4, 
2023/10/2, 79, 43, 21, , 2, 4, 
2023/10/3, 64, 41, 29, , 2, 6, 
2023/10/4, 88, 50, 29, , 2, 4, 
2023/10/5, 77, 49, 30, , 2, 4, 
2023/10/6, 98, 67, 32, , 2, 7, 
2023/10/7, 157, 64, 26, , 2, 5, 
2023/10/8, 91, 50, 32, , 1, 6, 
2023/10/9, 91, 55, 22, , 1, 7, 
2023/10/10, 112, 58, 25, , 2, 7, 
2023/10/11, 109, 52, 19, , 1, 7, 
2023/10/12, 81, 41, 26, , 2, 6, 
2023/10/13, 73, 48, 27, , 2, 5, 
2023/10/14, 83, 47, 30, , 2, 6, 
2023/10/15, 92, 51, 28, , 2, 6, 
2023/10/16, 81, 47, 23, , 2, 4, 
2023/10/17, 73, 42, 15, , 2, 5, 
2023/10/18, 71, 41, 24, , 2, 7, 
2023/10/19, 67, 38, 16, , 1, 5, 
2023/10/20, 65, 35, 13, , 1, 6, 
2023/10/21, 61, 38, 18, , 1, 6, 
2023/10/22, 64, 38, 21, , 2, 6, 
2023/10/23, 61, 30, 28, , 2, 4, 
2023/10/24, 52, 28, 13, , 2, 5, 
2023/10/25, 52, 37, 21, , 2, 7, 
2023/10/26, 68, 39, 23, , 2, 4, 
2023/10/27, 66, 33, 7, , 2, 4, 
2023/10/28, 55, 33, 29, , 2, 5, 
2023/10/29, 62, 31, 31, , 2, 5, 
2023/10/30, 67, 47, 29, , 2, 7, 
2023/10/31, 80, 42, 20, , 1, 7, 
2023/11/1, 70, 37, 32, , 1, 7, 
2023/11/2, 66, 51, 41, , 2, 6, 
2023/11/3, 93, 52, 22, , 2, 5, 
2023/11/4, 78, 42, 31, , 2, 4, 
2023/11/5, 65, 36, 27, , 2, 4, 
2023/11/6, 59, 33, 21, , 2, 5, 
2023/11/7, 53, 29, 14, , 2, 4, 
2023/11/8, 57, 33, 23, , 5, 4, 
2023/11/9, 64, 26, 18, , 3, 5, 
2023/11/10, 45, 34, 33, , 2, 6, 
2023/11/11, 62, 43, 33, , 4, 5, 
2023/11/12, 88, 41, 29, , 1, 6, 
2023/11/13, 66, 37, 19, , 1, 6, 
2023/11/14, 61, 31, 28, , 3, 6, 
2023/11/15, 50, 23, 25, , 3, 6, 
2023/11/16, 43, 24, 26, , 2, 7, 
2023/11/17, 41, 23, 23, , 1, 8, 
2023/11/18, 37, 15, 26, , 1, 7, 
2023/11/19, 22, 16, 35, , 5, 8, 
2023/11/20, 35, 22, 20, , 4, 6, 
2023/11/21, 34, 23, 24, , 1, 3, 
2023/11/22, 41, 25, 33, , 1, 2, 
2023/11/23, 40, 18, 28, , 1, 2, 
2023/11/24, 26, 19, 20, , 1, 2, 
2023/11/25, 37, 28, 35, , 2, 3, 
2023/11/26, 53, 25, 23, , 1, 3, 
2023/11/27, 53, 32, 21, , 2, 3, 
2023/11/28, 45, 22, 25, , 2, 2, 
2023/11/29, 34, 23, 15, , 2, 2, 
2023/11/30, 36, 15, 13, , 2, 2, 
2023/12/1, 29, 22, 17, , 2, 3, 
2023/12/2, 40, 20, 8, , 2, 2, 
2023/12/3, 36, 21, 11, , 2, 2, 
2023/12/4, 41, 26, 35, , 2, 3, 
2023/12/5, 47, 26, 12, , 2, 2, 
2023/12/6, 30, 24, 13, , 2, 3, 
2023/12/7, 43, 21, 17, , 2, 2, 
2023/12/8, 28, 15, 15, , 2, 1, 
2023/12/9, 24, 19, 17, , 2, 2, 
2023/12/10, 36, 20, 13, , 2, 2, 
2023/12/11, 36, 19, 6, , 2, 2, 
2023/12/12, 29, 17, 20, , 2, 3, 
2023/12/13, 31, 24, 13, , 2, 2, 
2023/12/14, 44, 25, 24, , 2, 3, 
2023/12/15, 42, 23, 17, , 2, 2, 
2023/12/16, 35, 22, 16, , 2, 3, 
2023/12/17, 39, 21, 13, , 2, 2, 
2023/12/18, 39, 21, 11, , 2, 2, 
2023/12/19, 35, 23, 14, , 2, 2, 
2023/12/20, 38, 20, 14, , 2, 2, 
2023/12/21, 28, 16, 24, , 2, 2, 
2023/12/22, 29, 19, 22, , 2, 3, 
2023/12/23, 33, 23, 42, , 2, 2, 
2023/12/24, 46, 23, 20, , 2, 1, 
2023/12/25, 30, 17, 14, , 2, 1, 
2023/12/26, 31, 17, 14, , 2, 2, 
2023/12/27, 29, 23, 10, , 2, 2, 
2023/12/28, 33, 23, 10, , 2, 2, 
2023/12/29, 38, 23, 9, , 2, 2, 
2023/12/30, 47, 30, 9, , 2, 2, 
2023/12/31, 40, 19, 8, , 2, 2, 
2023/7/1, 27, 13, 15, , 1, 3, 
2023/7/2, 29, 16, 13, , 1, 3, 
2023/7/3, 39, 20, 14, , 1, 4, 
2023/7/4, 33, 16, 18, , 1, 4, 
2023/7/5, 27, 20, 16, , 1, 5, 
2023/7/6, 43, 24, 15, , 1, 5, 
2023/7/7, 38, 20, 15, , 4, 5, 
2023/7/8, 38, 17, 12, , 1, 5, 
2023/7/9, 31, 21, 7, , 1, 6, 
2023/7/10, 44, 18, 5, , 1, 4, 
2023/7/11, 31, 18, 10, , 1, 5, 
2023/7/12, 32, 19, 14, , 1, 5, 
2023/7/13, 44, 24, 5, , 1, 5, 
2023/7/14, 54, 25, 17, , 5, 5, 
2023/7/15, 47, 29, 19, , 1, 4, 
2023/7/16, 47, 31, 12, , 1, 5, 
2023/7/17, 60, 34, 7, , 1, 5, 
2023/7/18, 54, 27, 10, , 1, 4, 
2023/7/19, 35, 31, 7, , 1, 4, 
2023/7/20, 51, 37, 16, , 1, 4, 
2023/7/21, 68, 33, 16, , 3, 4, 
2023/7/22, 48, 35, 16, , 1, 4, 
2023/7/23, 56, 28, 14, , 1, 4, 
2023/7/24, 46, 23, 14, , 2, 3, 
2023/7/25, 38, 30, 13, , 2, 4, 
2023/7/26, 54, 39, 16, , 2, 4, 
2023/7/27, 77, 45, 18, , 2, 4, 
2023/7/28, 79, 50, 21, , 4, 3, 
2023/7/29, 75, 42, 19, , 2, 3, 
2023/7/30, 45, 33, 15, , 2, 3, 
2023/7/31, 44, 38, 17, , 1, 4, 
2023/8/1, 49, 40, 20, , 2, 4, 
2023/8/2, 68, 39, 12, , 2, 4, 
2023/8/3, 52, 29, 14, , 3, 5, 
2023/8/4, 45, 31, 17, , 3, 4, 
2023/8/5, 56, 35, 19, , 2, 4, 
2023/8/6, 59, 30, 16, , 2, 4, 
2023/8/7, 52, 27, 9, , 2, 4, 
2023/8/8, 38, 24, 18, , 3, 3, 
2023/8/9, 41, 33, 21, , 3, 4, 
2023/8/10, 55, 37, 18, , 3, 4, 
2023/8/11, 59, 39, 26, , 3, 4, 
2023/8/12, 68, 49, 27, , 2, 5, 
2023/8/13, 74, 39, 21, , 2, 4, 
2023/8/14, 60, 31, 15, , 2, 4, 
2023/8/15, 62, 36, 12, , 2, 5, 
2023/8/16, 67, 40, 14, , 6, 5, 
2023/8/17, 72, 47, 4, , 14, 6, 
2023/8/18, 72, 36, 7, , 7, 5, 
2023/8/19, 64, 29, 20, , 3, 4, 
2023/8/20, 57, 29, 14, , 1, 4, 
2023/8/21, 51, 35, 15, , 4, 6, 
2023/8/22, 64, 41, 16, , 2, 4, 
2023/8/23, 57, 40, 15, , 1, 4, 
2023/8/24, 55, 30, 12, , 2, 5, 
2023/8/25, 44, 29, 10, , 2, 5, 
2023/8/26, 57, 49, 16, , 2, 7, 
2023/8/27, 61, 31, 14, , 2, 4, 
2023/8/28, 59, 38, 12, , 1, 6, 
2023/8/29, 62, 40, 15, , 1, 6, 
