date, pm25, pm10, o3, no2, so2, co, psi
2024/2/1, 23, 21, 11, , , 7, 
2024/2/2, 31, 22, 12, , , 7, 
2024/2/3, 29, , , , , , 
2024/1/1, 29, 13, 15, , 1, 5, 
2024/1/2, 22, 15, 12, , 2, 6, 
2024/1/3, 29, 14, 8, , 1, 9, 
2024/1/4, 17, 13, 20, , 1, 6, 
2024/1/5, 24, 15, 22, , 1, 5, 
2024/1/6, 26, 11, 15, , 1, 6, 
2024/1/7, 20, 12, 12, , 1, 7, 
2024/1/8, 25, 15, 17, , 1, 5, 
2024/1/9, 20, 12, 21, , 1, 6, 
2024/1/10, 21, 17, 18, , 1, 6, 
2024/1/11, 32, 29, 5, , 1, 5, 
2024/1/12, 21, 20, 11, , 1, 7, 
2024/1/13, 37, 31, 13, , 1, 6, 
2024/1/14, 40, 22, 12, , 1, 6, 
2024/1/15, 32, 20, 10, , 2, 6, 
2024/1/16, 26, 18, 12, , 2, 6, 
2024/1/17, 29, 25, 9, , 2, 6, 
2024/1/18, 37, 28, 7, , 2, 7, 
2024/1/19, 29, 35, 6, , 2, 6, 
2024/1/20, 25, 27, 14, , 1, 7, 
2024/1/21, 24, 22, 22, , 1, 8, 
2024/1/22, 25, 32, 13, , 1, 7, 
2024/1/23, 30, 36, 9, , 1, 8, 
2024/1/24, 29, 32, 8, , 1, 6, 
2024/1/25, 25, 28, 16, , 1, 6, 
2024/1/26, 29, 58, 14, , 1, 6, 
2024/1/27, 37, 40, 17, , 1, 6, 
2024/1/28, 34, 27, 16, , 2, 7, 
2024/1/29, 41, 29, 15, , 1, , 
2024/1/30, 37, 27, 14, , 1, , 
2024/1/31, 32, 19, 12, , , , 
2023/10/1, 65, 36, 28, , 1, 3, 
2023/10/2, 57, 40, 18, , 1, 4, 
2023/10/3, 53, 37, 33, , 2, 5, 
2023/10/4, 62, 38, 33, , 1, 3, 
2023/10/5, 52, 37, 33, , 1, 4, 
2023/10/6, 62, 56, 34, , 1, 6, 
2023/10/7, 93, 54, 23, , 2, 4, 
2023/10/8, 55, 40, 32, , 2, 4, 
2023/10/9, 64, 48, 25, , 2, 5, 
2023/10/10, 74, 46, 27, , 1, 6, 
2023/10/11, 66, 40, 22, , 2, 5, 
2023/10/12, 54, 33, 28, , 1, 4, 
2023/10/13, 49, 36, 26, , 2, 3, 
2023/10/14, 56, 37, 30, , 2, 3, 
2023/10/15, 60, 42, 27, , 2, 4, 
2023/10/16, 60, 36, 24, , 2, 3, 
2023/10/17, 52, 30, 13, , 2, 4, 
2023/10/18, 48, 28, 26, , 2, 6, 
2023/10/19, 42, 25, 26, , 2, 4, 
2023/10/20, 44, 27, 25, , 2, 6, 
2023/10/21, 45, 23, 33, , 2, 5, 
2023/10/22, 40, 27, 20, , 2, 6, 
2023/10/23, 44, 21, 25, , 2, 5, 
2023/10/24, 34, 22, 11, , 2, 5, 
2023/10/25, 44, 28, 21, , 2, 7, 
2023/10/26, 40, 29, 26, , 2, 5, 
2023/10/27, 46, 29, 6, , 2, 5, 
2023/10/28, 36, 21, 32, , 2, 5, 
2023/10/29, 38, 23, 33, , 2, 6, 
2023/10/30, 48, 34, 18, , 2, 7, 
2023/10/31, 47, 25, 24, , 2, 7, 
2023/11/1, 40, 21, 32, , 2, 5, 
2023/11/2, 41, 29, 45, , 2, 5, 
2023/11/3, 55, 32, 23, , 3, 5, 
2023/11/4, 47, 32, 32, , 3, 7, 
2023/11/5, 50, 24, 18, , 2, 5, 
2023/11/6, 35, 19, 19, , 2, 6, 
2023/11/7, 35, 21, 13, , 2, 5, 
