date, pm25, pm10, o3, no2, so2, co, psi
2024/2/1, 29, 24, 6, , , 5, 
2024/2/2, 41, 26, 9, , 2, 5, 
2024/2/3, 43, , , , , , 
2024/1/1, 34, 20, 9, , 1, 6, 
2024/1/2, 25, 19, 7, , 1, 5, 
2024/1/3, 30, 15, 4, , 2, 5, 
2024/1/4, 19, 10, 8, , 1, 5, 
2024/1/5, 20, 16, 6, , 1, 5, 
2024/1/6, 26, 11, 4, , 1, 5, 
2024/1/7, 16, 12, 6, , 1, 6, 
2024/1/8, 27, 15, 6, , 1, 5, 
2024/1/9, 22, 11, 4, , 1, 4, 
2024/1/10, 20, 16, 6, , 2, 4, 
2024/1/11, 45, 22, 4, , 2, 4, 
2024/1/12, 32, 21, 7, , 2, 5, 
2024/1/13, 47, 32, 9, , 2, 5, 
2024/1/14, 43, 24, 7, , 2, 4, 
2024/1/15, 28, 18, 6, , 2, 4, 
2024/1/16, 27, 19, 5, , 1, 4, 
2024/1/17, 33, 20, 5, , 1, 4, 
2024/1/18, 33, 35, 5, , 1, 3, 
2024/1/19, 40, 27, 4, , 1, 2, 
2024/1/20, 38, 18, 12, , 1, 3, 
2024/1/21, 28, 18, 8, , 2, 3, 
2024/1/22, 28, 29, 9, , 1, 4, 
2024/1/23, 25, 33, 5, , 1, 5, 
2024/1/24, 28, 16, 5, , 1, 4, 
2024/1/25, 24, 21, 12, , 1, 4, 
2024/1/26, 32, 28, 13, , 1, 3, 
2024/1/27, 35, 27, 13, , 1, , 
2024/1/28, 36, 31, 13, , 1, , 
2024/1/29, 50, 35, 11, , , 4, 
2024/1/30, 44, 32, 11, , , , 
2024/1/31, 38, 23, 11, , , 4, 
2023/10/1, 58, 35, 12, , 3, 4, 
2023/10/2, 50, 36, 7, , 3, 5, 
2023/10/3, 48, 34, 15, , 3, 5, 
2023/10/4, 54, 35, 14, , 3, 4, 
2023/10/5, 44, 34, 16, , 2, 5, 
2023/10/6, 54, 53, 14, , 9, 6, 
2023/10/7, 80, 50, 14, , 18, 4, 
2023/10/8, 54, 40, 16, , 6, 4, 
2023/10/9, 59, 49, 11, , 10, 5, 
2023/10/10, 67, 48, 13, , 5, 6, 
2023/10/11, 59, 50, 13, , 2, 7, 
2023/10/12, 55, 38, 18, , 5, 4, 
2023/10/13, 49, 40, 13, , 5, 4, 
2023/10/14, 52, 39, 14, , 2, 4, 
2023/10/15, 53, 43, 13, , 4, 4, 
2023/10/16, 53, 38, 16, , 5, 4, 
2023/10/17, 48, 36, 3, , 3, 4, 
2023/10/18, 47, 34, 11, , 2, 4, 
2023/10/19, 38, 30, 9, , 2, 4, 
2023/10/20, 39, 28, 9, , 1, 5, 
2023/10/21, 35, 26, 13, , 1, 4, 
2023/10/22, 33, 28, 10, , 1, 6, 
2023/10/23, 39, 27, 14, , 1, 4, 
2023/10/24, 30, 19, 9, , 1, 4, 
2023/10/25, 27, 27, 12, , 2, 5, 
2023/10/26, 43, 38, 17, , 3, 6, 
2023/10/27, 49, 37, 3, , 3, 4, 
2023/10/28, 40, 32, 22, , 2, 5, 
2023/10/29, 42, 24, 12, , 2, 4, 
2023/10/30, 39, 38, 16, , 4, 5, 
2023/10/31, 55, 35, 12, , 3, 6, 
2023/11/1, 39, 27, 16, , 2, 4, 
