Area,Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),LAT,LONG
South,Marina Barrage,2016,9,1,4.6,2.0,3.8,4.6,27.6,32.8,24.1,14.0,34.9,1.2799,103.8703
South,Marina Barrage,2016,9,2,0.0,0.0,0.0,0.0,29.0,33.3,25.9,13.7,35.3,1.2799,103.8703
South,Marina Barrage,2016,9,3,0.0,0.0,0.0,0.0,29.9,33.9,26.9,11.9,31.0,1.2799,103.8703
South,Marina Barrage,2016,9,4,0.0,0.0,0.0,0.0,29.8,33.5,27.8,11.2,36.7,1.2799,103.8703
South,Marina Barrage,2016,9,5,0.0,0.0,0.0,0.0,28.9,31.3,26.9,14.8,37.4,1.2799,103.8703
South,Marina Barrage,2016,9,6,14.2,10.4,10.6,10.8,29.1,32.0,25.0,12.2,41.4,1.2799,103.8703
South,Marina Barrage,2016,9,7,4.4,2.2,3.0,3.2,27.8,29.1,24.2,15.5,62.3,1.2799,103.8703
South,Marina Barrage,2016,9,8,0.0,0.0,0.0,0.0,29.8,32.8,28.2,12.2,34.6,1.2799,103.8703
South,Marina Barrage,2016,9,9,0.8,0.6,0.8,0.8,28.9,33.8,26.4,13.3,44.3,1.2799,103.8703
South,Marina Barrage,2016,9,10,5.8,4.4,5.6,5.8,27.6,30.7,23.2,15.1,42.8,1.2799,103.8703
South,Marina Barrage,2016,9,11,0.0,0.0,0.0,0.0,29.4,33.0,26.3,11.2,51.1,1.2799,103.8703
South,Marina Barrage,2016,9,12,2.2,1.4,1.4,1.4,27.7,29.1,25.9,16.6,43.9,1.2799,103.8703
South,Marina Barrage,2016,9,13,0.0,0.0,0.0,0.0,29.9,33.8,26.7,9.7,25.9,1.2799,103.8703
South,Marina Barrage,2016,9,14,14.6,10.6,12.6,12.8,27.1,29.2,24.5,13.7,54.0,1.2799,103.8703
South,Marina Barrage,2016,9,15,0.0,0.0,0.0,0.0,29.5,33.5,26.5,10.4,28.1,1.2799,103.8703
South,Marina Barrage,2016,9,16,35.0,11.6,22.6,32.4,28.4,32.9,22.8,11.9,57.6,1.2799,103.8703
South,Marina Barrage,2016,9,17,0.2,0.2,0.2,0.2,29.4,31.7,26.0,12.2,47.5,1.2799,103.8703
South,Marina Barrage,2016,9,18,54.4,40.2,53.0,54.2,28.9,32.8,22.1,11.9,51.5,1.2799,103.8703
South,Marina Barrage,2016,9,19,47.2,30.2,45.2,46.4,28.6,31.1,24.9,13.3,43.2,1.2799,103.8703
South,Marina Barrage,2016,9,20,18.6,9.0,14.8,18.2,28.6,32.8,23.6,13.7,49.7,1.2799,103.8703
South,Marina Barrage,2016,9,21,4.4,4.4,4.4,4.4,29.0,33.6,25.8,15.8,44.6,1.2799,103.8703
South,Marina Barrage,2016,9,22,0.0,0.0,0.0,0.0,29.0,31.8,26.8,16.2,34.2,1.2799,103.8703
South,Marina Barrage,2016,9,23,0.0,0.0,0.0,0.0,29.6,33.2,26.7,13.3,34.9,1.2799,103.8703
South,Marina Barrage,2016,9,24,0.6,0.6,0.6,0.6,29.5,33.0,25.4,11.5,41.0,1.2799,103.8703
